communityId,facet,assignmentTarget,ja,zh-CN,en,targetKind,targetId,decision
genre_000292,production,workType,自主制作,独立制作,Independent Production,workType,independent_production,community-work-type
genre_000293,production,workType,海外作品,海外作品,Overseas Production,workType,overseas_production,community-work-type
genre_000294,production,workType,輸入作品,进口作品,Imported Work,workType,imported_work,community-work-type
genre_000295,production,workType,女性向け,女性向,For Women,workType,for_women,community-work-type
genre_000296,production,workType,男性向け,男性向,For Men,workType,for_men,community-work-type
genre_000297,production,workType,同人作品,同人作品,Doujin Work,workType,doujin_work,community-work-type
genre_000298,production,workType,無修正,无码,Uncensored,workType,uncensored,community-work-type
genre_000299,production,workType,モザイク,有码,Censored,workType,censored,community-work-type
genre_000300,production,workType,薄消し,薄码,Light Mosaic,workType,light_mosaic,community-work-type
genre_000301,production,workType,字幕付き,带字幕,Subtitled,workType,subtitled,community-work-type
genre_000302,production,workType,多言語字幕,多语言字幕,Multilingual Subtitles,workType,multilingual_subtitles,community-work-type
genre_000303,production,workType,リマスター,重制,Remastered,workType,remastered,community-work-type
genre_000304,production,workType,4時間以上,4小时以上,Over Four Hours,workType,over_four_hours,community-work-type
genre_000305,production,workType,短編,短片,Short Form,workType,short_form,community-work-type
genre_000306,production,workType,長編,长片,Feature-length,workType,feature_length,community-work-type
genre_000307,production,workType,シリーズ作品,系列作品,Series Entry,workType,series_entry,community-work-type
genre_000308,media,mediaFormat,DVD,DVD,DVD,sourceOnly,media_dvd,recognized-source-only
genre_000309,media,mediaFormat,Blu-ray,蓝光,Blu-ray,sourceOnly,media_blu_ray,recognized-source-only
genre_000310,media,mediaFormat,HD DVD,HD DVD,HD DVD,sourceOnly,media_hd_dvd,recognized-source-only
genre_000311,media,mediaFormat,VHS,VHS录像带,VHS,sourceOnly,media_vhs,recognized-source-only
genre_000312,media,mediaFormat,UMD Video,UMD视频,UMD Video,sourceOnly,media_umd_video,recognized-source-only
genre_000313,media,mediaFormat,MicroSD,MicroSD卡,MicroSD,sourceOnly,media_microsd,recognized-source-only
genre_000314,media,mediaFormat,配信,数字发行,Digital Distribution,sourceOnly,media_digital_distribution,recognized-source-only
genre_000315,media,mediaFormat,ストリーミング,流媒体,Streaming,sourceOnly,media_streaming,recognized-source-only
genre_000316,media,mediaFormat,ダウンロード,数字下载,Download,sourceOnly,media_download,recognized-source-only
genre_000317,media,mediaFormat,4K UHD,4K超高清,4K UHD,sourceOnly,media_4k_uhd,recognized-source-only
genre_000318,media,mediaFormat,フルHD,全高清,Full HD,sourceOnly,media_full_hd,recognized-source-only
genre_000319,media,mediaFormat,HD,高清,HD,sourceOnly,media_hd,recognized-source-only
genre_000320,media,mediaFormat,SD,标清,Standard Definition,sourceOnly,media_sd,recognized-source-only
genre_000321,rating,contentRating,R-18,R-18,R-18,sourceOnly,rating_r18,recognized-source-only
genre_000322,rating,contentRating,R-15,R-15,R-15,sourceOnly,rating_r15,recognized-source-only
genre_000323,rating,contentRating,成人指定,成人限定,Adults Only,sourceOnly,rating_adults_only,recognized-source-only
