term,status,targets,candidateTargets,sources,note
Rear-entry,approved,genre:rear_entry,,localogue-community-data,Community genre_000214 (act) 精确名称。
Receptionist,approved,genre:receptionist,,localogue-community-data,Community genre_000086 (role) 精确名称。
Remastered,approved,workType:remastered,,localogue-community-data,Community genre_000303 (production) 精确名称。
Restraint,approved,genre:bondage,,localogue-community-data,Community genre_000245 (practice) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
Retirement Work,approved,sourceOnly:lifecycle_retirement,,localogue-community-data|localogue-vocabulary,Community genre_000007 (theme) 精确名称。
Reverse Pickup,approved,genre:reverse_pickup,,localogue-community-data,Community genre_000051 (theme) 精确名称。
Romance,approved,genre:romance,,localogue-community-data,Community genre_000016 (theme) 精确名称。
Romantic Comedy,approved,genre:romantic_comedy,,localogue-community-data,Community genre_000017 (theme) 精确名称。
S&M,approved,genre:sm,,legacy-localogue,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
Sailor Uniform,approved,genre:sailor_uniform,,localogue-community-data,Community genre_000134 (wardrobe) 精确名称。
Sample Video,approved,sourceOnly:provider_sample_video,,localogue-vocabulary,
Scent Fetish,approved,genre:scent_fetish,,localogue-community-data,Community genre_000064 (theme) 精确名称。
School Setting,approved,genre:school_setting,,localogue-community-data,Community genre_000027 (theme) 精确名称。
School Swimsuit,approved,genre:school_swimsuit,,localogue-community-data,Community genre_000138 (wardrobe) 精确名称。
School Uniform,approved,genre:school_uniform,,localogue-community-data,Community genre_000135 (wardrobe) 精确名称。
Science Fiction,approved,genre:science_fiction,,localogue-community-data,Community genre_000021 (theme) 精确名称。
SD,approved,sourceOnly:media_sd,,localogue-community-data|localogue-vocabulary,Community genre_000320 (media) 精确名称。
Secretary,approved,genre:secretary,,localogue-community-data,Community genre_000085 (role) 精确名称。
Seduction,approved,genre:seduction,,localogue-community-data,Community genre_000050 (theme) 精确名称。
Seductress,approved,genre:seductress,,localogue-community-data,Community genre_000241 (act) 精确名称。
Semen Swallowing,approved,genre:semen_swallowing,,localogue-community-data,Community genre_000221 (act) 精确名称。
Series Entry,approved,workType:series_entry,,localogue-community-data,Community genre_000307 (production) 精确名称。
Sex Acts Section,approved,sourceOnly:taxonomy_section_act,,localogue-vocabulary,
Sex Play Section,approved,sourceOnly:taxonomy_section_practice,,localogue-vocabulary,
Sex Toys,approved,genre:sex_toys,,localogue-community-data,Community genre_000256 (practice) 精确名称。
Sexy,approved,sourceOnly:generic_sexy,,localogue-vocabulary,
SF,approved,genre:science_fiction,,localogue-community-data,Community genre_000021 (theme) 精确名称。
Shop Clerk,approved,genre:shop_clerk,,localogue-community-data,Community genre_000087 (role) 精确名称。
Short Form,approved,workType:short_form,,localogue-community-data,Community genre_000305 (production) 精确名称。
Shotacon,approved,sourceOnly:age_coded_shotacon,,localogue-vocabulary,
Shrine Maiden,approved,genre:shrine_maiden,,localogue-community-data,Community genre_000100 (role) 精确名称。
Single-performer Work,approved,workType:solo,,localogue-community-data,Community genre_000282 (production) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Work Type 显示词。
Sixty-nine,approved,genre:sixty_nine,,localogue-community-data,Community genre_000216 (act) 精确名称。
Slave Play,approved,genre:slave,,localogue-community-data,Community genre_000247 (practice) 精确名称。
Slave Role,approved,genre:slave,,localogue-community-data,Community genre_000124 (role) 精确名称。
Slender,approved,genre:slender,,localogue-community-data,Community genre_000189 (body) 精确名称。
SM,approved,genre:sm,,legacy-localogue|localogue-community-data|metatube-356-20240608|metatube-jp-zh-20250329,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。 Community genre_000243 (practice) 精确名称。
Small Bust,approved,genre:small_bust,,localogue-community-data,Community genre_000184 (body) 精确名称。
Solo,approved,workType:solo,,legacy-localogue,V1-24 以前的 Work Type 显示词，保留为稳定别名。
Solo Performer Work,approved,workType:solo,,localogue-community-data,Community genre_000011 (theme) 精确名称。
Spanking,approved,genre:spanking,,localogue-community-data,Community genre_000239 (act) 精确名称。
Sports,approved,genre:sports,,localogue-community-data,Community genre_000032 (theme) 精确名称。
Squirting,approved,genre:squirting,,localogue-community-data,Community genre_000225 (act) 精确名称。
Standard Definition,approved,sourceOnly:media_sd,,localogue-community-data|localogue-vocabulary,Community genre_000320 (media) 精确名称。
Standing Rear-entry,approved,genre:standing_rear_entry,,localogue-community-data,Community genre_000215 (act) 精确名称。
Stepmother,approved,genre:stepmother,,localogue-community-data,Community genre_000106 (role) 精确名称。
Stockings,approved,genre:stockings,,localogue-community-data,Community genre_000166 (wardrobe) 精确名称。
Streaming,approved,sourceOnly:media_streaming,,localogue-community-data|localogue-vocabulary,Community genre_000315 (media) 精确名称。
Student,approved,genre:student,,localogue-community-data,Community genre_000077 (role) 精确名称。
Submitted Work,approved,workType:submitted_work,,localogue-community-data,Community genre_000291 (production) 精确名称。
Subtitled,approved,workType:subtitled,,localogue-community-data,Community genre_000301 (production) 精确名称。
Suit,approved,genre:suit,,localogue-community-data,Community genre_000152 (wardrobe) 精确名称。
Suspense,approved,genre:suspense,,localogue-community-data,Community genre_000019 (theme) 精确名称。
Sweat,approved,genre:sweat,,localogue-community-data,Community genre_000065 (theme) 精确名称。
Swimsuit,approved,genre:swimsuit,,localogue-community-data,Community genre_000139 (wardrobe) 精确名称。
Tall,approved,genre:tall,,localogue-community-data,Community genre_000192 (body) 精确名称。
Tanned,approved,genre:tanned,,localogue-community-data,Community genre_000066 (theme) 精确名称。 Community genre_000195 (body) 精确名称。
Teacher,approved,genre:teacher,,localogue-community-data,Community genre_000080 (role) 精确名称。
Tentacles,approved,genre:tentacles,,localogue-community-data,Community genre_000262 (practice) 精确名称。
Theme,approved,sourceOnly:taxonomy_section_theme,,localogue-vocabulary,
Thigh-high Socks,approved,genre:thigh_high_socks,,localogue-community-data,Community genre_000168 (wardrobe) 精确名称。
Threesome,approved,genre:threesome,,localogue-community-data,Community genre_000230 (act) 精确名称。
Time Stop,approved,genre:time_stop,,localogue-community-data,Community genre_000034 (theme) 精确名称。
Titjob,approved,genre:titjob,,legacy-localogue,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
Touch Typing,approved,sourceOnly:technical_touch_typing,,localogue-vocabulary,
Train Conductor,approved,genre:train_conductor,,localogue-community-data,Community genre_000094 (role) 精确名称。
Training,approved,genre:training,,localogue-community-data,Community genre_000246 (practice) 精确名称。
Transformation,approved,genre:transformation,,localogue-community-data,Community genre_000039 (theme) 精确名称。
Transgender Woman,approved,genre:transgender_woman,,localogue-community-data,Community genre_000126 (role) 精确名称。
Travel,approved,genre:travel,,localogue-community-data,Community genre_000025 (theme) 精确名称。
UMD,approved,sourceOnly:media_umd_video,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
UMD Video,approved,sourceOnly:media_umd_video,,localogue-community-data|localogue-vocabulary,Community genre_000312 (media) 精确名称。
UMD视频,approved,sourceOnly:media_umd_video,,localogue-community-data|localogue-vocabulary,Community genre_000312 (media) 精确名称。
Uncensored,approved,workType:uncensored,,localogue-community-data,Community genre_000298 (production) 精确名称。
Uniform,approved,genre:uniform,,localogue-community-data,Community genre_000133 (wardrobe) 精确名称。
Urination,approved,genre:urination,,localogue-community-data,Community genre_000224 (act) 精确名称。
Various Professions,approved,sourceOnly:generic_professions,,localogue-vocabulary,
Very Large Bust,approved,genre:very_large_bust,,localogue-community-data,Community genre_000182 (body) 精确名称。
VHS,approved,sourceOnly:media_vhs,,localogue-community-data|localogue-vocabulary,Community genre_000311 (media) 精确名称。
VHS录像带,approved,sourceOnly:media_vhs,,localogue-community-data|localogue-vocabulary,Community genre_000311 (media) 精确名称。
Vibrator,approved,genre:vibrator,,localogue-community-data,Community genre_000257 (practice) 精确名称。
Voyeurism,approved,genre:voyeurism,,localogue-community-data,Community genre_000055 (theme) 精确名称。
VR,approved,workType:vr,,legacy-localogue|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,V1-24 以前的 Work Type 显示词，保留为稳定别名。
VR-only,approved,workType:vr,,localogue-community-data,Community genre_000284 (production) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Work Type 显示词。
VR专用,approved,workType:vr,,localogue-community-data,Community genre_000284 (production) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Work Type 显示词。
VR作品,approved,workType:vr,,legacy-localogue,V1-24 以前的 Work Type 显示词，保留为稳定别名。
VR専用,approved,workType:vr,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
Waitress,approved,genre:waitress,,localogue-community-data,Community genre_000088 (role) 精确名称。
Wedding Dress,approved,genre:wedding_dress,,localogue-community-data,Community genre_000157 (wardrobe) 精确名称。
White Performer,approved,genre:white_performer,,localogue-community-data,Community genre_000132 (role) 精确名称。
Widow,approved,genre:widow,,localogue-community-data,Community genre_000104 (role) 精确名称。
Workplace Setting,approved,genre:workplace_setting,,localogue-community-data,Community genre_000028 (theme) 精确名称。
Young Lady,approved,genre:young_lady,,localogue-community-data,Community genre_000110 (role) 精确名称。
Young Wife,approved,genre:young_wife,,localogue-community-data,Community genre_000103 (role) 精确名称。
Younger Sister,approved,genre:younger_sister,,localogue-community-data,Community genre_000108 (role) 精确名称。
Yukata,approved,genre:yukata,,localogue-community-data,Community genre_000154 (wardrobe) 精确名称。
いたずら,approved,genre:prank,,localogue-community-data,Community genre_000058 (theme) 精确名称。
おもちゃ,approved,genre:sex_toys,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
お姉さん,approved,genre:older_sister,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
お姫様,approved,genre:princess,,localogue-community-data,Community genre_000122 (role) 精确名称。
お嬢様,approved,genre:young_lady,,localogue-community-data,Community genre_000110 (role) 精确名称。
お母さん,approved,genre:mother,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
お爺ちゃん,approved,genre:older_man,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
お風呂,approved,genre:bath,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
くノ一,approved,genre:kunoichi,,localogue-community-data,Community genre_000120 (role) 精确名称。
ごっくん,approved,genre:cum_swallowing,,localogue-community-data,Community genre_000223 (act) 精确名称。
その他フェチ,approved,genre:fetish,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
その他学生,approved,genre:student,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ぶっかけ,approved,genre:bukkake,,localogue-community-data,Community genre_000222 (act) 精确名称。
ぽっちゃり,approved,genre:chubby,,localogue-community-data,Community genre_000190 (body) 精确名称。
めがね,approved,genre:glasses,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
アイドル,approved,genre:idol,,localogue-community-data,Community genre_000071 (role) 精确名称。
アクメ,approved,genre:orgasm,,metatube-356-20240608|metatube-reference,
アジア,approved,sourceOnly:region_asia,,localogue-vocabulary|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
アジア女優,approved,genre:asian_performer,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
アジア系出演者,approved,genre:asian_performer,,localogue-community-data,Community genre_000130 (role) 精确名称。
アダルト,approved,sourceOnly:generic_adult,,localogue-vocabulary|metatube-356-20240608|metatube-reference,
アダルトアニメ,approved,workType:adult_animation,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
アナル,approved,genre:anal,,localogue-community-data,Community genre_000217 (act) 精确名称。
アニメコスプレ,approved,genre:anime_cosplay,,localogue-community-data,Community genre_000159 (wardrobe) 精确名称。
イタズラ,approved,genre:prank,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
イメージビデオ,approved,workType:image_video,,localogue-community-data,Community genre_000275 (production) 精确名称。
イラマチオ,approved,genre:deep_throat,,localogue-community-data,Community genre_000206 (act) 精确名称。
インストラクター,approved,genre:instructor,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
インタビュー,approved,workType:interview,,localogue-community-data,Community genre_000289 (production) 精确名称。
インディーズ,approved,workType:independent_production,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ウェイトレス,approved,genre:waitress,,localogue-community-data,Community genre_000088 (role) 精确名称。
ウェディングドレス,approved,genre:wedding_dress,,localogue-community-data,Community genre_000157 (wardrobe) 精确名称。
エステ,approved,genre:beauty_treatment,,localogue-community-data,Community genre_000030 (theme) 精确名称。
エステティシャン,approved,genre:esthetician,,localogue-community-data,Community genre_000096 (role) 精确名称。
エプロン,approved,genre:apron,,localogue-community-data,Community genre_000148 (wardrobe) 精确名称。
オイル,approved,genre:oil_play,,localogue-community-data,Community genre_000236 (act) 精确名称。
オナニー,approved,genre:masturbation,,legacy-localogue|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
オムニバス,approved,workType:omnibus,,localogue-community-data,Community genre_000281 (production) 精确名称。
オモチャ,approved,genre:sex_toys,,metatube-356-20240608|metatube-reference,
オリジナル作品,approved,workType:original_work,,localogue-community-data,Community genre_000277 (production) 精确名称。
オーガズム,approved,genre:orgasm,,metatube-356-20240608|metatube-reference,
カップル,approved,genre:couple,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
カルチャー,approved,sourceOnly:generic_culture,,localogue-vocabulary|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
カーセックス,approved,genre:car_sex,,localogue-community-data,Community genre_000252 (practice) 精确名称。
キス,approved,genre:kissing,,localogue-community-data,Community genre_000203 (act) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
キス・接吻,approved,genre:kissing,,legacy-localogue|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
キャラクター,approved,sourceOnly:taxonomy_section_role,,localogue-vocabulary,
ギャル,approved,genre:gyaru,,localogue-community-data,Community genre_000113 (role) 精确名称。
ギリモザ,approved,workType:light_mosaic,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
クロマキー,approved,sourceOnly:technical_chroma_key,,localogue-vocabulary|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
クンニ,approved,genre:cunnilingus,,localogue-community-data,Community genre_000207 (act) 精确名称。
グラビア,approved,workType:gravure,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
グラビアアイドル,approved,genre:gravure_idol,,localogue-community-data,Community genre_000076 (role) 精确名称。
ゲイ,approved,genre:gay,,localogue-community-data,Community genre_000269 (practice) 精确名称。
コスチューム,approved,sourceOnly:taxonomy_section_wardrobe,,localogue-vocabulary,
コスプレ,approved,genre:cosplay,,localogue-community-data,Community genre_000158 (wardrobe) 精确名称。
コスプレ衣装,approved,genre:cosplay,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
コメディ,approved,genre:comedy,,localogue-community-data,Community genre_000018 (theme) 精确名称。
コメディー,approved,genre:comedy,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ゴスロリ,approved,genre:gothic_lolita,,localogue-community-data,Community genre_000162 (wardrobe) 精确名称。
サイコ、スリラー,review-required,,genre:psychological|genre:thriller,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,来源把多个语义合并为一个分类桶；保留为审核候选，不自动同时写入多个 Canonical。 来源将多个语义合并为一个分类桶；不得自动同时写入多个 Canonical，进入人工审核。
サスペンス,approved,genre:suspense,,localogue-community-data,Community genre_000019 (theme) 精确名称。
サンプル動画,approved,sourceOnly:provider_sample_video,,localogue-vocabulary|metatube-356-20240608|metatube-reference,
シスター,approved,genre:nun,,localogue-community-data,Community genre_000101 (role) 精确名称。
シックスナイン,approved,genre:sixty_nine,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
シミュレーション,approved,workType:simulation,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ショタ,approved,sourceOnly:age_coded_shotacon,,localogue-vocabulary|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
シリーズ作品,approved,workType:series_entry,,localogue-community-data,Community genre_000307 (production) 精确名称。
ジャンル,approved,sourceOnly:taxonomy_section_genre,,localogue-vocabulary,
スクール水着,approved,genre:school_swimsuit,,localogue-community-data,Community genre_000138 (wardrobe) 精确名称。
スチュワーデス,approved,genre:flight_attendant,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ストッキング,approved,genre:stockings,,localogue-community-data,Community genre_000166 (wardrobe) 精确名称。
ストリーミング,approved,sourceOnly:media_streaming,,localogue-community-data|localogue-vocabulary,Community genre_000315 (media) 精确名称。
スポーツ,approved,genre:sports,,localogue-community-data,Community genre_000032 (theme) 精确名称。
スレンダー,approved,genre:slender,,localogue-community-data,Community genre_000189 (body) 精确名称。
スーツ,approved,genre:suit,,localogue-community-data,Community genre_000152 (wardrobe) 精确名称。
セクシー,approved,sourceOnly:generic_sexy,,localogue-vocabulary|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
セックスプレイ,approved,sourceOnly:taxonomy_section_practice,,localogue-vocabulary,
セックス行為,approved,sourceOnly:taxonomy_section_act,,localogue-vocabulary,
セーラー服,approved,genre:sailor_uniform,,localogue-community-data,Community genre_000134 (wardrobe) 精确名称。
タイトスカート,approved,genre:pencil_skirt,,localogue-community-data,Community genre_000165 (wardrobe) 精确名称。
タッチタイピング,approved,sourceOnly:technical_touch_typing,,localogue-vocabulary|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
タレント,approved,genre:celebrity,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ダウンロード,approved,sourceOnly:media_download,,localogue-community-data|localogue-vocabulary,Community genre_000316 (media) 精确名称。
ダンス,approved,genre:dance,,localogue-community-data,Community genre_000033 (theme) 精确名称。
チャイナドレス,approved,genre:cheongsam,,localogue-community-data,Community genre_000156 (wardrobe) 精确名称。
ディルド,approved,genre:dildo,,localogue-community-data,Community genre_000258 (practice) 精确名称。
ディープキス,approved,genre:deep_kissing,,localogue-community-data,Community genre_000204 (act) 精确名称。
デジモ,approved,workType:digital_mosaic,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
デビュー作,approved,sourceOnly:lifecycle_debut,,localogue-community-data|localogue-vocabulary,Community genre_000006 (theme) 精确名称。
デビュー作品,approved,sourceOnly:lifecycle_debut,,localogue-vocabulary|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
トランスジェンダー女性,approved,genre:transgender_woman,,localogue-community-data,Community genre_000126 (role) 精确名称。
ドキュメンタリー,approved,genre:documentary,,localogue-community-data,Community genre_000015 (theme) 精确名称。
ドキュメンタリー作品,approved,workType:documentary_production,,localogue-community-data,Community genre_000288 (production) 精确名称。
ドキュメント,approved,genre:documentary,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ドラッグ,approved,sourceOnly:content_drug,,localogue-vocabulary|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ドラマ,approved,genre:drama,,localogue-community-data,Community genre_000014 (theme) 精确名称。
ドラマ作品,approved,workType:drama_production,,localogue-community-data,Community genre_000287 (production) 精确名称。
ナンパ,approved,genre:pickup,,localogue-community-data,Community genre_000052 (theme) 精确名称。
ナンパもの,approved,genre:pickup_production,,localogue-community-data,Community genre_000266 (practice) 精确名称。
ナース,approved,genre:nurse,,metatube-reference,
ナース服,approved,genre:nurse_outfit,,localogue-community-data,Community genre_000150 (wardrobe) 精确名称。
ニューハーフ,approved,genre:transgender_woman,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ニーソックス,approved,genre:thigh_high_socks,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ニーハイ,approved,genre:thigh_high_socks,,localogue-community-data,Community genre_000168 (wardrobe) 精确名称。
ネグリジェ,approved,genre:negligee,,localogue-community-data,Community genre_000146 (wardrobe) 精确名称。
ネコミミ,approved,genre:cat_ears,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ノーマル,approved,sourceOnly:generic_normal,,localogue-vocabulary|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ハイヒール,approved,genre:high_heels,,localogue-community-data,Community genre_000171 (wardrobe) 精确名称。
ハイビジョン,approved,sourceOnly:media_hd,,localogue-vocabulary|metatube-jp-zh-20250329|metatube-reference,
ハットタイプ,approved,genre:hat,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ハメ撮り,approved,genre:pov_recording,,localogue-community-data,Community genre_000070 (theme) 精确名称。 Community genre_000265 (practice) 精确名称。
バイセクシュアル,approved,genre:bisexual,,localogue-community-data,Community genre_000270 (practice) 精确名称。
バイブ,approved,genre:vibrator,,localogue-community-data,Community genre_000257 (practice) 精确名称。
バニーガール,approved,genre:bunny_girl,,localogue-community-data,Community genre_000160 (wardrobe) 精确名称。
パイズリ,approved,genre:titjob,,localogue-community-data,Community genre_000210 (act) 精确名称。
パイパン,approved,genre:hairless,,localogue-community-data,Community genre_000199 (body) 精确名称。
パロディ,approved,genre:parody,,localogue-community-data,Community genre_000023 (theme) 精确名称。
パンスト,approved,genre:pantyhose,,localogue-community-data,Community genre_000167 (wardrobe) 精确名称。
パンティ,approved,genre:panties,,localogue-community-data,Community genre_000144 (wardrobe) 精确名称。
ビキニ,approved,genre:bikini,,localogue-community-data,Community genre_000140 (wardrobe) 精确名称。
ピンク映画,approved,workType:pink_film,,localogue-community-data,Community genre_000276 (production) 精确名称。
ファンタジー,approved,genre:fantasy,,localogue-community-data,Community genre_000022 (theme) 精确名称。
ファン感謝,approved,genre:fan_appreciation,,localogue-community-data,Community genre_000010 (theme) 精确名称。
ファン感謝・訪問,approved,genre:fan_appreciation,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
フィスト,approved,genre:fisting,,localogue-community-data,Community genre_000228 (act) 精确名称。
フェチ,approved,genre:fetish,,localogue-community-data,Community genre_000059 (theme) 精确名称。
フェムドム,approved,genre:femdom,,localogue-community-data,Community genre_000272 (practice) 精确名称。
フェラ,approved,genre:blowjob,,localogue-community-data,Community genre_000205 (act) 精确名称。
フランス,approved,sourceOnly:region_france,,localogue-vocabulary|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
フルHD,approved,sourceOnly:media_full_hd,,localogue-community-data|localogue-vocabulary,Community genre_000318 (media) 精确名称。
フルハイビジョン(FHD),approved,sourceOnly:media_full_hd,,localogue-vocabulary|metatube-356-20240608|metatube-reference,
ブラジャー,approved,genre:bra,,localogue-community-data,Community genre_000143 (wardrobe) 精确名称。
ブルマ,approved,genre:bloomers,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ブルマー,approved,genre:bloomers,,localogue-community-data,Community genre_000137 (wardrobe) 精确名称。
ブルーレイ,approved,sourceOnly:media_blu_ray,,localogue-vocabulary|metatube-reference,
ブーツ,approved,genre:boots,,localogue-community-data,Community genre_000170 (wardrobe) 精确名称。
ベスト,approved,workType:best_of,,legacy-localogue|metatube-356-20240608|metatube-reference,V1-24 以前的 Work Type 显示词，保留为稳定别名。
ベスト、総集編,review-required,,workType:best_of|workType:compilation,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,来源把多个语义合并为一个分类桶；保留为审核候选，不自动同时写入多个 Canonical。 来源将多个语义合并为一个分类桶；不得自动同时写入多个 Canonical，进入人工审核。
ベスト盤,approved,workType:best_of,,localogue-community-data,Community genre_000280 (production) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Work Type 显示词。
ベビードール,approved,genre:babydoll,,localogue-community-data,Community genre_000145 (wardrobe) 精确名称。
ホラー,approved,genre:horror,,localogue-community-data,Community genre_000020 (theme) 精确名称。
ボディタイプ,approved,sourceOnly:taxonomy_section_body,,localogue-vocabulary,
ボンテージ,approved,genre:bondage,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ボンデージ,approved,genre:bondage_wear,,localogue-community-data,Community genre_000177 (wardrobe) 精确名称。
マスク,approved,genre:mask,,localogue-community-data,Community genre_000174 (wardrobe) 精确名称。
マッサージ,approved,genre:massage,,localogue-community-data,Community genre_000235 (act) 精确名称。
ミニスカ,approved,genre:miniskirt,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ミニスカート,approved,genre:miniskirt,,localogue-community-data,Community genre_000163 (wardrobe) 精确名称。
ミニ系,approved,genre:petite,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
メイド,approved,genre:maid,,localogue-community-data,Community genre_000099 (role) 精确名称。
メイド服,approved,genre:maid_outfit,,localogue-community-data,Community genre_000149 (wardrobe) 精确名称。
メディア,approved,sourceOnly:taxonomy_section_media,,localogue-vocabulary,
モザイク,approved,workType:censored,,localogue-community-data,Community genre_000299 (production) 精确名称。
モデル,approved,genre:model,,localogue-community-data,Community genre_000075 (role) 精确名称。
ラブコメ,approved,genre:romantic_comedy,,localogue-community-data,Community genre_000017 (theme) 精确名称。
ラブストーリー,approved,genre:romance,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ラブロマンス,approved,genre:romance,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ランジェリー,approved,genre:lingerie,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
リマスター,approved,workType:remastered,,localogue-community-data,Community genre_000303 (production) 精确名称。
ルーズソックス,approved,genre:loose_socks,,localogue-community-data,Community genre_000169 (wardrobe) 精确名称。
レオタード,approved,genre:leotard,,localogue-community-data,Community genre_000176 (wardrobe) 精确名称。
レズ,approved,genre:lesbian,,legacy-localogue|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
レズビアン,approved,genre:lesbian,,localogue-community-data,Community genre_000268 (practice) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
ロリ系,approved,sourceOnly:age_coded_loli_style,,localogue-vocabulary|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ロングブーツ,approved,genre:boots,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
ローション,approved,genre:lotion_play,,localogue-community-data,Community genre_000234 (act) 精确名称。
ローター,approved,genre:bullet_vibrator,,localogue-community-data,Community genre_000259 (practice) 精确名称。
三人性行为,approved,genre:threesome,,localogue-community-data,Community genre_000230 (act) 精确名称。
下着,approved,genre:lingerie,,localogue-community-data,Community genre_000142 (wardrobe) 精确名称。
不倫,approved,genre:infidelity,,localogue-community-data,Community genre_000046 (theme) 精确名称。
丝袜,approved,genre:stockings,,localogue-community-data,Community genre_000166 (wardrobe) 精确名称。
丧服,approved,genre:mourning_dress,,localogue-community-data,Community genre_000155 (wardrobe) 精确名称。
中出し,approved,genre:creampie,,localogue-community-data,Community genre_000218 (act) 精确名称。
丰满,approved,genre:chubby,,localogue-community-data,Community genre_000190 (body) 精确名称。
主动女性,approved,genre:seductress,,localogue-community-data,Community genre_000241 (act) 精确名称。
主観,approved,genre:pov,,localogue-community-data,Community genre_000069 (theme) 精确名称。
主観映像,approved,workType:pov_video,,localogue-community-data,Community genre_000286 (production) 精确名称。
主观视角,approved,genre:pov,,localogue-community-data,Community genre_000069 (theme) 精确名称。
主观视角影像,approved,workType:pov_video,,localogue-community-data,Community genre_000286 (production) 精确名称。
主題,approved,sourceOnly:taxonomy_section_theme,,localogue-vocabulary,
主题,approved,sourceOnly:taxonomy_section_theme,,localogue-vocabulary,
乱交,approved,genre:orgy,,localogue-community-data,Community genre_000231 (act) 精确名称。
乳フェチ,approved,genre:breast_fetish,,localogue-community-data,Community genre_000062 (theme) 精确名称。
乳交,approved,genre:titjob,,localogue-community-data,Community genre_000210 (act) 精确名称。
乳头刺激,approved,genre:nipple_stimulation,,localogue-community-data,Community genre_000237 (act) 精确名称。
